hospitalid,n,obs_rate,exp_rate,ratio
66,722,0.234072022160665,0.0997115954316722,2.34749049142498
141,1263,0.0712589073634204,0.146930843539552,0.484982632963913
176,1761,0.0908574673480977,0.113498319817131,0.800518170616868
146,523,0.103250478011472,0.0954598997718204,1.08161100376466
184,741,0.155195681511471,0.150815035995565,1.02904647727588
215,590,0.120338983050847,0.111447041844823,1.07978624698182
271,844,0.0876777251184834,0.0802577248270098,1.09245216342062
283,1686,0.186832740213523,0.15157904986991,1.23257627207632
300,2948,0.0936227951153324,0.107318516298242,0.872382496000514
345,1575,0.105396825396825,0.10180977447443,1.03523287366967
400,1357,0.103168754605748,0.119716062606961,0.861778715062326
440,1059,0.13314447592068,0.123062958773723,1.08192162164323
443,3025,0.0261157024793388,0.0778254198455355,0.335567768618173
449,1909,0.0764798323729701,0.104383339173334,0.732682370373025
63,905,0.0795580110497238,0.0805864779562233,0.987237723591069
73,5137,0.0757251313996496,0.0906909315498626,0.834980191575332
79,1162,0.137693631669535,0.116098170385185,1.18601034979881
122,2535,0.0710059171597633,0.11270989170496,0.629988336300024
112,304,0.0625,0.0891669537213546,0.700932322924383
110,1502,0.0512649800266312,0.0909756342304209,0.563502309824941
142,1251,0.0655475619504396,0.155477872861779,0.421587720129874
143,640,0.0296875,0.162366731815079,0.182842258805895
144,637,0.0737833594976452,0.113381343619313,0.650753970118565
140,502,0.151394422310757,0.160240764474307,0.944793435100162
165,1292,0.0727554179566563,0.0967155288114964,0.75226200849773
157,836,0.167464114832536,0.161774747348755,1.0351684522895
167,2315,0.0609071274298056,0.0906564328184099,0.671845621278814
158,159,0.138364779874214,0.0992302189293857,1.39438148345392
175,279,0.0788530465949821,0.0956800374635836,0.824132689381461
171,818,0.0623471882640587,0.0861613234866972,0.72360991847676
152,857,0.0373395565927655,0.107923662879836,0.345981183332705
155,209,0.124401913875598,0.117927805154428,1.05489891644038
148,1238,0.146203554119548,0.153002754999859,0.955561578742044
183,1289,0.104732350659426,0.135790240020907,0.771280400147319
181,794,0.0705289672544081,0.127803020135618,0.551856811987433
182,269,0.0966542750929368,0.124934714469572,0.773638259816707
180,351,0.0712250712250712,0.10878725238076,0.654718909305478
188,2917,0.108673294480631,0.12403105484894,0.876178104048105
197,1499,0.0560373582388259,0.0973692549693201,0.575513885327382
199,1941,0.119526017516744,0.11298176247848,1.05792310984271
206,772,0.0686528497409326,0.101635753263773,0.675479322347907
202,767,0.0860495436766623,0.104855762892737,0.820646775177129
200,342,0.181286549707602,0.117723458220306,1.53993564620184
208,2561,0.110894181960172,0.125362664635622,0.884586988338958
207,204,0.127450980392157,0.132475634245381,0.962071109288542
210,483,0.126293995859213,0.121332263291277,1.04089376092841
217,955,0.0764397905759162,0.123392926357127,0.61948275993295
226,763,0.0996068152031455,0.121120688419291,0.822376560958191
227,1109,0.0748422001803427,0.0993952420941998,0.75297568176767
244,1053,0.15289648622982,0.100518284863713,1.52108132801035
243,2537,0.0906582577847852,0.105499265284839,0.859325963455916
245,566,0.15017667844523,0.0989661551427564,1.51745491404211
248,1499,0.116077384923282,0.100107666035194,1.15952543417078
253,408,0.105392156862745,0.104043171617425,1.01296562978953
251,279,0.204301075268817,0.110260503298891,1.85289445591414
252,2727,0.100843417675101,0.101429915515725,0.99421770354789
264,4347,0.11709224752703,0.10846725859425,1.07951698092642
256,564,0.0833333333333333,0.100435629890624,0.829718830101277
259,503,0.0775347912524851,0.109404149641146,0.708700643502142
281,2044,0.0949119373776908,0.118504765934354,0.800912407440788
272,991,0.114026236125126,0.0841166472621265,1.3555727651602
277,1285,0.106614785992218,0.130513262385561,0.816888521851963
275,529,0.0850661625708885,0.12003619077532,0.708670960161613
279,657,0.193302891933029,0.111079034519129,1.74022841276802
269,632,0.145569620253165,0.122844852753325,1.18498754315308
318,973,0.092497430626927,0.0921822245422496,1.00341938032243
307,1557,0.109184328837508,0.116022975710932,0.941057822112213
312,562,0.115658362989324,0.0990056213649539,1.16819996071723
310,517,0.0947775628626692,0.109669529722228,0.864210534163161
338,3439,0.0994475138121547,0.0972523369794243,1.02257197000001
331,1053,0.0930674264007597,0.0887182940039628,1.04902182177447
336,836,0.110047846889952,0.107990065821029,1.01905528118053
328,205,0.11219512195122,0.0832827885300561,1.34715856579093
365,1241,0.0862207896857373,0.0850931248356028,1.0132521264475
353,575,0.172173913043478,0.109410639437065,1.57364872309805
390,895,0.0692737430167598,0.113641836988503,0.609579577843044
394,1737,0.0869314910765688,0.0934556254788447,0.93019003009345
384,808,0.143564356435644,0.115676781559693,1.24108187053562
387,477,0.0964360587002096,0.100004604537888,0.964316184698007
407,268,0.0634328358208955,0.0799407022665087,0.793498606122089
386,406,0.0985221674876847,0.105109949467971,0.937324848754746
388,833,0.104441776710684,0.111332146636845,0.93810979008034
396,542,0.0479704797047971,0.0939445242151814,0.510625607032933
411,576,0.0763888888888889,0.108453086103289,0.704349609896182
413,1392,0.0366379310344828,0.0804710964480063,0.45529305119081
417,1629,0.0687538367096378,0.0852637573817157,0.806366489361184
416,1610,0.0664596273291925,0.100981165444316,0.658138842394727
420,3442,0.106333527019175,0.126948314299805,0.837612752919698
436,275,0.185454545454545,0.102987835147553,1.80074224483737
444,1213,0.0692497938994229,0.0826689937859016,0.837675538651988
458,3112,0.0729434447300771,0.101685374962259,0.717344502659804
364,258,0.178294573643411,0.106775756963683,1.66980388351687
439,284,0.151408450704225,0.147453597432227,1.02682100227373
282,778,0.110539845758355,0.0825901182181627,1.33841491141062
92,509,0.19056974459725,0.115005135175454,1.65705422028775
108,313,0.274760383386582,0.0961491687139835,2.85764699852909
203,104,0.144230769230769,0.129890527089406,1.11040252482379
357,638,0.117554858934169,0.0786264952677064,1.49510490749868
403,819,0.0744810744810745,0.0959752602538694,0.776044516931348
392,556,0.118705035971223,0.111467161505883,1.06493279605903
402,375,0.248,0.0987200364494356,2.51215466403343
422,240,0.141666666666667,0.113446144015353,1.2487570018025
452,711,0.160337552742616,0.147344691828378,1.08818004064491
459,532,0.12781954887218,0.131056688138926,0.97529970188691
381,201,0.203980099502488,0.121957096612023,1.67255621172583
67,280,0.114285714285714,0.105184877549938,1.08652229244128
123,110,0.172727272727273,0.101282382226456,1.7054029430417
196,319,0.0846394984326019,0.111718553846419,0.757613623865533
198,535,0.0280373831775701,0.0864092059691332,0.324472177045412
195,1012,0.0197628458498024,0.0789464382382704,0.250332330258594
204,127,0.173228346456693,0.135787740346601,1.27572891348309
220,654,0.0764525993883792,0.092345751197232,0.827895148365752
258,293,0.143344709897611,0.0906786871586089,1.58079824917273
273,129,0.162790697674419,0.220473576725205,0.738368289263607
280,899,0.0600667408231368,0.10145452307957,0.592055819690041
303,130,0.0384615384615385,0.0923585693172926,0.416437140005992
360,202,0.0891089108910891,0.0999658928578209,0.89139313763572
389,409,0.0929095354523227,0.0994444713732021,0.934285578367101
435,1238,0.0395799676898223,0.112941975970826,0.350445149817869
434,311,0.106109324758842,0.116235593415363,0.912881516246624
445,283,0.201413427561837,0.114978364168698,1.75175067951324
224,446,0.100896860986547,0.130169688063395,0.775117944028631
71,439,0.127562642369021,0.0875954780830519,1.45626972031678
438,149,0.167785234899329,0.127064648388115,1.32047140591641
60,235,0.2,0.0999127166359757,2.00174719228869
249,336,0.217261904761905,0.0967378772113993,2.24588249220237
262,156,0.108974358974359,0.087393865755022,1.24693372964906
266,191,0.0523560209424084,0.0832071825885159,0.629224777400821
267,191,0.0785340314136126,0.0865526081801968,0.907356035419637
408,170,0.170588235294118,0.086417216314932,1.97400752498715
125,202,0.123762376237624,0.0790879811112308,1.56486958572836
383,419,0.0739856801909308,0.107908465440295,0.685633697866519
250,203,0.221674876847291,0.108402064376477,2.04493224480874
154,780,0.134615384615385,0.156343953954369,0.861020725206129
358,284,0.169014084507042,0.0847629705067457,1.99396131938995
194,297,0.0404040404040404,0.0970239117748558,0.416433842595401
301,899,0.0645161290322581,0.0778823988852238,0.828378811589205
412,192,0.15625,0.12446385098059,1.25538458571692
56,191,0.246073298429319,0.12389420675306,1.98615661602144
