hospitalid,n,lim_rate,smr,cancer_pct
66,722,0.234072022160665,0.502649914661197,0.0346260387811634
141,1263,0.0712589073634204,0.641665964014295,0.0253365003958828
176,1761,0.0908574673480977,0.540167453382886,0.0533787620670074
146,523,0.103250478011472,0.785806842944036,0.0191204588910134
184,741,0.155195681511471,0.793259756172336,0.0566801619433198
215,590,0.120338983050847,0.754510625483575,0.0322033898305085
271,844,0.0876777251184834,0.669175968110586,0.033175355450237
283,1686,0.186832740213523,0.625794183715755,0.0427046263345196
300,2948,0.0936227951153324,0.704429537729506,0.0332428765264586
345,1575,0.105396825396825,0.431110357738308,0.0247619047619048
400,1357,0.103168754605748,0.934390494473381,0.0265291083271923
440,1059,0.13314447592068,0.532208100364408,0.0254957507082153
443,3025,0.0261157024793388,0.862640966148454,0.0376859504132231
449,1909,0.0764798323729701,0.557771762544453,0.0508119434258774
63,905,0.0795580110497238,0.736051137547884,0.0419889502762431
73,5137,0.0757251313996496,0.757742155972347,0.045357212380767
79,1162,0.137693631669535,0.615748698154228,0.0309810671256454
122,2535,0.0710059171597633,0.72524032878322,0.0169625246548323
112,304,0.0625,0.683972310277591,0.00986842105263158
110,1502,0.0512649800266312,0.92185614514757,0.0159786950732357
142,1251,0.0655475619504396,0.864339905341244,0.0367705835331735
143,640,0.0296875,0.613012178269173,0.01875
144,637,0.0737833594976452,0.795298060968428,0.00627943485086342
140,502,0.151394422310757,0.723883576478283,0.0398406374501992
165,1292,0.0727554179566563,0.724104750761819,0.0425696594427245
157,836,0.167464114832536,0.760044941707038,0.0382775119617225
167,2315,0.0609071274298056,0.807291750228942,0.0280777537796976
158,159,0.138364779874214,0.662961362755679,0.0440251572327044
175,279,0.0788530465949821,0.724090812957055,0.010752688172043
171,818,0.0623471882640587,0.629962396718584,0.0464547677261614
152,857,0.0373395565927655,0.725867725591698,0.0175029171528588
155,209,0.124401913875598,0.639023387335468,0.0669856459330144
148,1238,0.146203554119548,0.583313067617876,0.0355411954765751
183,1289,0.104732350659426,0.796453695577014,0.0403413498836307
181,794,0.0705289672544081,0.76376373956567,0.0680100755667506
182,269,0.0966542750929368,0.419432342154575,0.0446096654275093
